test	machine	time	rows	dataset	matches	ndistinct	build	prefetch	table_size	index_size	scan_type	caching	run	value	nfound	cost	duration	point_cheapest	indexscan	bitmapscan	seqscan
btree	i5	1687996692	1000000	cycle	10	100000	patched	0	43479	1157	indexscan	cached	2	33057	11	44.29	7.04	f	44.29	44.17	55979.21
btree	i5	1687996693	1000000	cycle	10	100000	patched	0	43479	1157	indexscan	cached	3	41131	11	44.29	7.138	f	44.29	44.17	55979.21
btree	i5	1687996693	1000000	cycle	10	100000	patched	0	43479	1157	indexscan	cached	4	70911	11	44.29	6.978	f	44.29	44.17	55979.21
btree	i5	1687996694	1000000	cycle	10	100000	patched	0	43479	1157	indexscan	cached	5	97690	11	44.29	7.113	f	44.29	44.17	55979.21
btree	i5	1687996691	1000000	cycle	10	100000	patched	0	43479	1157	seqscan	cached	1	6987	11	55979.21	142.196	f	44.29	44.17	55979.21
btree	i5	1687996766	1000000	cycle	100	10000	master	0	43479	839	bitmapscan	cached	1	435	101	388.26	7.717	t	402.15	388.26	55979.21
btree	i5	1687996768	1000000	cycle	100	10000	master	0	43479	839	bitmapscan	cached	2	3175	101	388.26	7.328	t	402.15	388.26	55979.21
btree	i5	1687996769	1000000	cycle	100	10000	master	0	43479	839	bitmapscan	cached	3	4012	101	388.26	7.378	t	402.15	388.26	55979.21
btree	i5	1687996769	1000000	cycle	100	10000	master	0	43479	839	bitmapscan	cached	4	6115	101	388.26	7.545	t	402.15	388.26	55979.21
btree	i5	1687996770	1000000	cycle	100	10000	master	0	43479	839	bitmapscan	cached	5	8142	101	388.26	7.293	t	402.15	388.26	55979.21
btree	i5	1687996766	1000000	cycle	100	10000	master	0	43479	839	indexscan	cached	1	621	101	402.15	7.43	f	402.15	388.26	55979.21
btree	i5	1687996768	1000000	cycle	100	10000	master	0	43479	839	indexscan	cached	2	2728	101	402.15	7.315	f	402.15	388.26	55979.21
btree	i5	1687996768	1000000	cycle	100	10000	master	0	43479	839	indexscan	cached	3	4823	101	402.15	7.351	f	402.15	388.26	55979.21
btree	i5	1687996769	1000000	cycle	100	10000	master	0	43479	839	indexscan	cached	4	7020	101	402.15	7.374	f	402.15	388.26	55979.21
btree	i5	1687996770	1000000	cycle	100	10000	master	0	43479	839	indexscan	cached	5	8741	101	402.15	7.446	f	402.15	388.26	55979.21
btree	i5	1687996767	1000000	cycle	100	10000	master	0	43479	839	seqscan	cached	1	1055	101	55979.21	143.65	f	402.15	388.26	55979.21
btree	i5	1687996776	1000000	cycle	100	10000	patched	0	43479	839	bitmapscan	cached	1	1446	101	388.26	7.434	t	402.15	388.26	55979.21
btree	i5	1687996777	1000000	cycle	100	10000	patched	0	43479	839	bitmapscan	cached	2	3866	101	388.26	7.192	t	402.15	388.26	55979.21
btree	i5	1687996778	1000000	cycle	100	10000	patched	0	43479	839	bitmapscan	cached	3	5418	101	388.26	7.071	t	402.15	388.26	55979.21
btree	i5	1687996779	1000000	cycle	100	10000	patched	0	43479	839	bitmapscan	cached	4	7187	101	388.26	7.385	t	402.15	388.26	55979.21
btree	i5	1687996779	1000000	cycle	100	10000	patched	0	43479	839	bitmapscan	cached	5	9042	101	388.26	7.522	t	402.15	388.26	55979.21
btree	i5	1687996775	1000000	cycle	100	10000	patched	0	43479	839	indexscan	cached	1	1635	101	402.15	7.252	f	402.15	388.26	55979.21
btree	i5	1687996777	1000000	cycle	100	10000	patched	0	43479	839	indexscan	cached	2	2214	101	402.15	7.313	f	402.15	388.26	55979.21
btree	i5	1687996778	1000000	cycle	100	10000	patched	0	43479	839	indexscan	cached	3	5278	101	402.15	7.274	f	402.15	388.26	55979.21
btree	i5	1687996778	1000000	cycle	100	10000	patched	0	43479	839	indexscan	cached	4	6928	101	402.15	7.167	f	402.15	388.26	55979.21
btree	i5	1687996779	1000000	cycle	100	10000	patched	0	43479	839	indexscan	cached	5	9831	101	402.15	7.392	f	402.15	388.26	55979.21
btree	i5	1687996776	1000000	cycle	100	10000	patched	0	43479	839	seqscan	cached	1	1259	101	55979.21	143.034	f	402.15	388.26	55979.21
btree	i5	1687996656	1000000	cycle	1000	1000	master	0	43479	896	bitmapscan	cached	1	136	1001	3523.17	9.075	t	3965.85	3523.17	55978.9
btree	i5	1687996658	1000000	cycle	1000	1000	master	0	43479	896	bitmapscan	cached	2	341	1001	3523.17	8.824	t	3965.85	3523.17	55978.9
btree	i5	1687996659	1000000	cycle	1000	1000	master	0	43479	896	bitmapscan	cached	3	550	1001	3523.17	8.886	t	3965.85	3523.17	55978.9
btree	i5	1687996660	1000000	cycle	1000	1000	master	0	43479	896	bitmapscan	cached	4	791	1001	3523.17	8.844	t	3965.85	3523.17	55978.9
btree	i5	1687996661	1000000	cycle	1000	1000	master	0	43479	896	bitmapscan	cached	5	881	1001	3523.17	8.633	t	3965.85	3523.17	55978.9
btree	i5	1687996656	1000000	cycle	1000	1000	master	0	43479	896	indexscan	cached	1	46	1001	3965.85	8.648	f	3965.85	3523.17	55978.9
btree	i5	1687996657	1000000	cycle	1000	1000	master	0	43479	896	indexscan	cached	2	361	1001	3965.85	8.778	f	3965.85	3523.17	55978.9
