test	machine	rows	dataset	nmatches	ndistinct	build	prefetch	scan_type	caching	duration
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexonlyscan-clean	uncached	12.829
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexscan	cached	7.734
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexscan	cached-os	8.033
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	indexscan	uncached	13.691
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	seqscan	cached	127.565
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	seqscan	cached-os	142.317
btree	i5	1000000	cycle	1	1000000	3-prefetchbuffer	32	seqscan	uncached	417.345
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	bitmapscan	cached	7.383
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	bitmapscan	cached-os	7.762
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	bitmapscan	uncached	12.833
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexonlyscan	cached	7.402
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexonlyscan	cached-os	7.586
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexonlyscan	uncached	15.481
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexonlyscan-clean	cached	7.718
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexonlyscan-clean	cached-os	7.732
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexonlyscan-clean	uncached	12.973
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexscan	cached	7.482
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexscan	cached-os	7.724
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	indexscan	uncached	14.025
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	seqscan	cached	129.898
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	seqscan	cached-os	144.256
btree	i5	1000000	cycle	1	1000000	4-preadv2	0	seqscan	uncached	398.463
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	bitmapscan	cached	7.812
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	bitmapscan	cached-os	7.864
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	bitmapscan	uncached	12.745
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexonlyscan	cached	7.516
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexonlyscan	cached-os	7.659
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexonlyscan	uncached	15.571
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexonlyscan-clean	cached	7.419
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexonlyscan-clean	cached-os	7.624
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexonlyscan-clean	uncached	13.316
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexscan	cached	7.818
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexscan	cached-os	7.711
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	indexscan	uncached	13.769
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	seqscan	cached	130.47
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	seqscan	cached-os	145.507
btree	i5	1000000	cycle	1	1000000	4-preadv2	8	seqscan	uncached	351.972
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	bitmapscan	cached	7.702
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	bitmapscan	cached-os	7.84
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	bitmapscan	uncached	15.531
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexonlyscan	cached	7.488
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexonlyscan	cached-os	7.727
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexonlyscan	uncached	12.744
btree	i5	1000000	cycle	1	1000000	4-preadv2	32	indexonlyscan-clean	cached	7.499
