test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration best_plan correct_plan
btree xeon 1700752842 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached-os 3 556 985 1490.78 18.924000 0 1
btree xeon 1700752842 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached 3 556 985 1490.78 10.625000 0 1
btree xeon 1700752842 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan uncached 3 403 1009 1419.84 28.073000 1 1
btree xeon 1700752843 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached-os 3 403 1009 1419.84 20.443000 1 1
btree xeon 1700752843 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan cached 3 403 1009 1419.84 10.698000 1 1
btree xeon 1700752843 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan uncached 4 729 918 19.29 114.211000 1 1
btree xeon 1700752843 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached-os 4 729 918 19.29 17.866000 1 1
btree xeon 1700752844 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan cached 4 729 918 19.29 9.950000 1 1
btree xeon 1700752845 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean uncached 4 650 1008 19.36 12.335000 1 1
btree xeon 1700752845 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached-os 4 650 1008 19.36 9.606000 1 1
btree xeon 1700752845 1000000 random 1000 1000 1-master 32 43479 887 indexonlyscan-clean cached 4 650 1008 19.36 9.432000 1 1
btree xeon 1700752845 1000000 random 1000 1000 1-master 32 43479 887 indexscan uncached 4 734 1031 1496.83 130.160000 0 1
btree xeon 1700752846 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached-os 4 734 1031 1496.83 19.887000 0 1
btree xeon 1700752846 1000000 random 1000 1000 1-master 32 43479 887 indexscan cached 4 734 1031 1496.83 10.944000 0 1
btree xeon 1700752846 1000000 random 1000 1000 1-master 32 43479 887 bitmapscan uncached 4 744 1047 1425.47 29.936000 1 1
